"","domain","entropy"
"50","dimsnetwork.com",3.64022392894185
"51","luckyblank.info",3.50689059560852
"52","luckyclean.info",3.50689059560852
"53","luckyclear.info",3.64022392894185
"54","luckyeffect.info",3.45281953111478
"55","luckyhalo.info",3.52164063634332
"56","luckypure.info",3.66449777920046
"57","luckyshine.info",3.64022392894185
"58","luckysuccess.info",3.41041725276052
"59","luckysure.info",3.66449777920046
"60","luckytidy.info",3.52164063634332
"61","nudebeachgalleries.net",3.65899341525381
"62","buffalogoesout.com",3.50325833477565
"63","achren.org",3.12192809488736
"64","associatesexports.com",3.40398944648526
"65","antalya.ru/links/",3.45482239994661
"66","conds.ru",3
"67","img001.com/business/qiji.exe",3.89629152904593
"68","unalbilgisayar.com",3.68354236243323
"69","www.t-sb.net",2.85538854220753
"70","hanulsms.com",3.25162916738782
"71","semengineers.com",3.125
"72","srslogisticts.com",3.1462863706621
"73","tendersource.com",3.32781953111478
"74","traff1.com/in.cgi?5",3.82687488186464
"75","web-olymp.ru",3.58496250072116
"76","oprahsearch.com/scripts/net19.exe",3.94546495249511
"77","oprahsearch.com/scripts/brez251.exe",4.05757515967848
"78","rl8vd.kikul.com/ci7ka5t2ue",4.13294404498096
"79","sbnc.hak.su/spread.txt",3.84535093662244
"80","somnoy.com",2.64643934467102
"81","incoctel.cl/8RHFBgK4.php?html=27",4.45281953111478
"82","incoctel.cl/8RHFBgK4.php?id=23694557",4.70451145971555
"83","nadegda-95.ru",3.39274741044878
"84","romsigmed.ro",3.08496250072116
"85","spatsz.com",3.12192809488736
"86","svetyivanrilski.com",3.78714396069814
"87","titon.info",2.52192809488736
"88","tophostbg.net",3.18083298720544
"89","vivaweb.org",3.27761343681912
"90","vocational-training.us",3.6292196865241
"91","warco.pl",3
"92","bde.be",1.91829583405449
"93","pwvita.pl",2.94770277922009
"94","roks.ua",2.8073549220576
"95","skgroup.kiev.ua",3.50689059560852
"96","tecnocuer.com",3.02698683335929
"97","tk-gregoric.si",3.37878349348618
"98","tomalinoalambres.com.ar",3.5013978254341
"99","vipdn123.blackapplehost.com",4.20841018726852
"100","womenslabour.org",3.57781953111478
"101","wroclawski.com.pl",3.49922754713269
"102","xoomer.alice.it/email02/bom.jpg",3.99373058423148
"103","www.propan.ru/forum/downloads.php",3.7259160889243
"104","firehouse651.com/gallery/images/copyright.txt",4.32453476270788
"105","www.freewebtown.com/atakus/Nokia/BotNetNew.txt",3.96598064101909
"106","webcashmaker.com/v2/members/trade_traffic.php",4.1780883079127
"107","sentrol.cl/components/kampret.jpg",3.89971419478823
"108","www.kjbbc.net/bbs/data/gallery/1207290228/inbox.txt",4.42764213696436
"109","www.torgi.kz/help/id2.txt",3.91326968951511
"110","www.torgi.kz/help/idxx.txt",3.81507241011594
"111","www.uriyuri.com/bbs/skin/zero_vote/1.txt",4.20869496956284
"112","www.usaenterprise.com/images/images.txt",3.89722361662077
"113","www.wigglewoo.com/portfolio/contests/contest-006.png",3.99844945921767
"114","xorgwebs.webs.com/stx.1",3.67531086891236
"115","plengeh.wen.ru/id.txt",3.7489948035251
"116","wahyufian.zoomshare.com/files/bot.txt",4.22932735194002
"117","www.hospedar.xpg.com.br/nome.txt",3.96501826628863
"118","dl.heima8.com/pv/dl.htm?adid=20132&sid=0211",4.32430945271944
"119","update.51edm.net/20090728/01.dll",3.99172929667217
"120","update.51edm.net/20090728/01.kdg",4.05422929667218
"121","www.xiruz.kit.net/mola.jpg",4.05602096805788
"122","wfoto.front.ru/fotos.com",3.2610276044371
"123","ska.energia.cz/download/imer.up",4.10694913275815
"124","www.obyz.de/webproxytest.txt",3.61057724333164
"125","callingcardsinstantly.com/webalizer/050709wareza/crack=17=keygen=serial.html",4.48459503359694
"126","dawnframing.com/webalizer/050709wareza/crack=17=keygen=serial.html",4.5358352185609
"127","free-crochet-pattern.com/webalizer/050709wareza/crack=17=keygen=serial.html",4.50868894528662
"128","js.tongji.linezing.com/1189582/tongji.js",4.03418371977919
"129","www.oiluk.net/cache/cache_94afbfb2f291e0bf253fcf222e9d238e_180836f9b956ab9d91a50f9add968699",4.40099792890465
"130","adgallery.whitehousedrugpolicy.gov/members/Miley-Cyrus-Nude/default.aspx",4.48945668950216
"131","www.vvvic.com",2.66122625626979
"132","sportsulsan.co.kr/poll/aipi/id.txt",3.85101872309423
"133","hst-19-33.splius.lt:8080",3.80350885479768
"134","tabex.sopharma.bg:8080",3.87966400490259
"135","www.professionalblackbook.com/",3.89473966305518
"136","0koryu0.easter.ne.jp",3.64643934467102
"137","www.whitesports.co.kr",3.40398944648526
"138","typeofmarijuana.com/",3.88418371977919
"139","trafficgrowth.com/",3.61436944588676
"140","thcvaporizer.com/",3.73452166477975
"141","roorbong.com/",2.93120894891032
"142","thcextractor.com/",3.29277019393699
"143","purethc.com/",3.41829583405449
"144","potvaporizer.com/",3.57246945877014
"145","portablevaporizer.com/",3.75444184571335
"146","cannabispicture.com/",3.78418371977919
"147","cannabislyric.com/",3.57243125132212
"148","dp-medien.eu",3.0220552088742
"149","juedische-kammerphilharmonie.de",3.92599298842148
"150","vernoblisk.com",3.66449777920046
"151","vural-electronic.com",3.68418371977919
"152","www.purplehorses.net/?page=bleach-244-online",4.31103786834228
"153","www.wildsap.com/?kkk=bleach-episodes-244",4.2653115322251
"154","www.ohiomm.com/?page=bleach-244-vosta",4.28338140599407
"155","be-funk.com/?kkk=bleach-244-english-sub",4.27233106490515
"156","revistaelite.com/?topic=bleach-244-english-sub",4.36303852159497
"157","www.wrestlingexposed.com/faq.php?t=bleach-244-english-sub",4.61562548810765
"158","revistaelite.com/?topic=bleach-244-raw",4.27372882900533
"159","santacruzsuspension.com/?j=bleach-episode-245",4.4556488633721
"160","www.sitepalace.com/w0rmreaper/NoVaC.jpeg",4.07507052036418
"161","www.doctor-alex.com/files/SetupDrAlex.exe",4.20427852863896
"162","cznshuya.ivnet.ru/",3.83659166810898
"163","www.tpt.edu.in/",3.13957226198672
"164","inlinea.co.uk",3.23890125660263
"165","inlinea.co.uk/suspended.page/",3.77143702946113
"166","inlinea.co.uk/adnep/simple.php",3.80623892865339
"167","inlinea.co.uk/adnep/tahitian.php",3.70281953111478
"168","downloads-whatsapp.com/whatsapp-for-samsung.php",3.96110261785676
"169","websalesusa.com/ken",3.6421498816369
"170","www.rempko.sk/kontakt.htm",3.59326968951511
"171","www.secondome.com/sora-margherita/",3.91762644387336
"172","reishus.de/.sys/?action=fbgen&mode=s&age=193&a=-186345958&v=82&crc=669&ie=6.0.2900.2180",4.76863599098956
"173","sexzoznamka.eu/lightbox/js/r/files/tasks/AC",4.24884172021162
"174","a.update.51edm.net/20100223/01.kdg?md5=ab2676ca2190bc21abcba6e5f5b3b2a7",4.32521472702111
"175","vette-porno.nl",3.23592635062903
"176","obkom.net.ua/bancodes/rotator.php?place=indexfoot",4.22866602858677
"177","wkmg.co.kr/bbs/lib/1.txt",3.82393489628406
"178","blacknite.eu/cracking/Pelite.EXE",3.95281953111478
"179","bargainracks.co.uk/img/common/1x2.gif",4.01920741921523
"180","pokachi.net/",3.58496250072116
"181","pride-u-bike.com/2006/09/30/akkymtlator/",4.31281489547236
"182","pride-u-bike.com/2007/06/23/s-tolkacha/",4.38490438607343
"183","pride-u-bike.com/2007/07/30/doroga-smerti/",4.21650604217747
"184","pride-u-bike.com/byzapimoto/",4.03914867190307
"185","pride-u-bike.com/motorcycle/suzuki-motorcycle/",4.05076617427757
"186","pride-u-bike.com/motorcycle/vozdeniye-motorcycle/",4.04004626256273
"187","pride-u-bike.com/sell/honda-steed-400-1996/",4.38605415113929
"188","pride-u-bike.com/sell/honda-vfr400r-nc30/",4.4058556629436
"189","quotidiennokoue.com/",3.52192809488736
"190","quotidiennokoue.com/?cat=5",3.93120894891032
"191","quotidiennokoue.com/?p=558",4.0081320258334
"192","safety.amw.com/family/ask-john-walsh-how-can-i-tell-if-a-child-has-been-abused/",4.16110164141095
"193","safety.amw.com/home/stop-domestic-violence-before-it-starts/",4.12505950526544
"194","wmserver.net/sgcg/?page_id=5",4.13753751126605
"195","wp9.ru/",2.8073549220576
"196","www.sanseracingteam.com/wordpress/",3.84438453223592
"197","www.sanseracingteam.com/wordpress/?p=128",4.2153115322251
"198","www.sonnoli.com/?page_id=5",4.10390991028236
"199","www.stirparts.ru/",3.17512313511346
"200","www.tiergestuetzt.de/",3.30875135124717
"201","pic.starsarabian.com/",3.5351745656359
"202","www.angolotesti.it/J/testi_canzoni_jovanotti_168/testo_canzone_chissa_se_stai_dormendo_9566.html",4.30516209745394
"203","w612.nb.host127-0-0-1.com/bins/int/kr3_znp.int?fxp=384bd820008ee37f030b3e65bca6e8a1a65beab33574f567a23b0a987ca83e6544e3e645",4.75633526710651
"204","q28840.nb.host127-0-0-1.com/bins/int/tp_map16.int?fxp=5936289861f351e362768cf97e7b45e0648647f26c6d6750fb2298af91238cf9c815a461",4.70567679499376
"205","w4988.nb.host127-0-0-1.com/bins/int/np_pkz.int?affid=NP_0104&fxp=85c26940bd074d9ebe8290842bca496331374b71c3b8806954f77f9",4.90836997224329
"206","z32538.nb.host127-0-0-1.com/bins/int/np_pkz.int?affid=NP_0104&fxp=2ac11c971204a16811817c725e04d68a44f9d4987c472f66eb08d0",4.88390445517061
"207","afa15.com.ne.kr/media/videoxxx.avi.exe",3.82755465946892
"208","rsiuk.co.uk/cinch/index.html",3.94075983254009
"209","fgawegwr.chez.com/images/1273471091.exe",4.31426624499232
"210","montezuma.spb.ru/key/72548.htm",4.32323142879762
"211","freeserials.ws/sn/64850.html",4.06610893983748
"212","allxscan.tk/ddt/load.php?f=1&e=4",4.24172929667218
"213","pornstarss.tk/ntk/index.php?ID=105828",4.4251412032329
"214","helesouurusa.cjb.com/land/video.php?l=4:52&id=1&n=my_loli2&a=mike&path=./tmb/my_loli2/31.jpg&rat=./img/rating5.jpg&v=61545",4.8647936633729
"215","helesouurusa.cjb.com/land/?n=my_loli2&id=1",4.45160849410431
"216","luwyou.com/photos.php",3.49922754172336
"217","update.onescan.co.kr/setupa/onescansetup.exe",3.69975157397319
"218","sudcom.org/tmp/source/index.php",3.97791687469364
"219","sudcom.org/tmp/source/pdf.php",3.77143702946113
"220","scdsfdfgdr12.tk/go/?afid=51",3.9861879650463
"221","scaner-figy.tk/go/?afid=51",4.31582433352571
"222","scaner-or.tk/go/?afid=51",4.25162916738782
"223","scaner-sboom.tk/go/?afid=96",4.35655833541667
"224","scaner-sbite.tk/go/?afid=",4.16385618977472
"225","linkforme.tk/www1/load.php?f=1&e=2",4.35937791471612
"226","linkforme.tk/www1/index.php",4.06026203912038
"227","internet-bb.tk/go/?afid=51",4.13294404498096
"228","www.zyxyfy.com/images/ner.html",4.13957226198672
"229","sexyster.tk/lo/index.php",3.88684218813101
"230","sexyster.tk/lo/load.php?f=1&e=6",4.28468381031709
"231","unlim-app.tk/go/?afid=51",4.25162916738782
"232","new-address.tk/go/?afid=80",4.20986712190404
"233","www.gameangel.com/System/html/js/html.js",3.91845395770192
"234","vvps.ws/44/mothersdarlingcross.php?",4.183014003266
"235","beldiplomcom.75.com1.ru/true.php",3.99172929667217
"236","beldiplomcom.75.com1.ru/loading.php?spl=mdac",4.24330036853896
"237","url-cameralist.tk/go/?afid=136",4.41506101220307
"238","site-checksite.tk/go/?afid=144",4.09806851205884
"239","www.downloaddirect.com/software/vlc-player/2567",4.34408134126102
"240","www.kcta.or.kr/js/json.js",3.43326968951511
"241","www.spris.com/images/log.txt",3.86933126111152
"242","orkut.krovatka.su/imagem-542454.jpg",4.185867302412
"243","faq-candrive.tk/go/?afid=51",4.2824842613426
"244","hosting-controlnext.tk/go/?afid=51",4.30055438530435
"245","hosting-controlid1.tk/go/?afid=156",4.27835181171131
"246","hosting-controlid1.tk/go/?afid=90",4.27137063437885
"247","hosting-controlpin.tk/go/?afid=51",4.24849525552541
"248","hosting-controlpr.tk/go/?afid=51",4.28890976555739
"249","bookofkisl.com/album.php",3.75162916738782
"250","infoweb-coolinfo.tk/90/?afid=90",4.13130034250536
"251","alissonluis-musico.sites.uol.com.br/mar.jpg",3.95221642946363
"252","skiholidays4beginners.com/subtraction-scorpio-male-and-virgo-female-compatiblity/",4.35657589283408
"253","patrickhickey.eu/concertina-free-short-skits-scripts-in-hindi-for-independence-day/",3.99850054024222
"254","rolemodelstreetteam.invasioncrew.com/raazuc/Dossier-For-M",4.15410783045051
"255","hy-brasil.mhwang.com/",4.01136504182638
"256","marx-brothers.mhwang.com/",3.94346518960165
"257","networkmedical.com.hk/defeating-innova-champion-discs-inc-raven/",4.20141255686243
"258","wallpapers91.com",3.625
"259","rat-on-subway.mhwang.com/",3.97366068968819
"260","seet10.jino.ru",3.52164063634332
"261","vkont.bos.ru",3.25162916738782
"262","download207.mediafire.com/2ezaemp68lyg/fe8lc6kqa1f06n1/Grand+Theft+Modification.zip",4.7378397753316
"263","www.widestep.com/files/ws_qk_install.exe",4.03482950850326
"264","www.casamama.nl/",2.95281953111478
"265","seoholding.com/13/overblog",3.9462227768166
"266","seonetwizard.com/in.cgi?3",4.05366068968819
"267","seoholding.com/13/overblog&usg=AFQjCNGS7Xe0yilVQ6lGj3Oroonf7-gfhg",4.97596762178225
"268","www.makohela.tk/kingofthelamers.jar",4.01443873098343
"269","crackzone.net/data/Super_Mp3_Download_Version_3.3.4.6_serial_keys_gen-bee3afe71a.html",4.69167101480777
"270","seoholding.com/13/boardhost",4.02860452162877
"271","www.infra.by/conflq.php",3.84922391239062
"272","elocumjobs.com/_sql/1/index.php?spl=mdac",4.33982278200876
"273","nobodyspeakstruth.narod.ru/upload/main.exe",4.14161920818398
"274","aintdoinshit.com/",3.45482239994661
"275","cswilliamsburg.com/site7/data/",4.00623892865339
"276","police11.provenprotection.net/?1284cf325cf33aa48aeb29aee89b3473",4.38132218629382
"277","metrocuadro.com.ve/coolest/2013googledocs/",3.94577248225106
"278","www.petpleasers.ca/templates/rhuk_milkyway/images/red/sll.exe",4.08250251098017
"279","dimenal.com.br/cUEDN4w2/index.html?s=883&lid=2267&elq=11f7b1b5179f45b09737bdf10d0fe61f",4.95559426731774
"280","dimenal.com.br/HHv0oxBP/index.html?s=883&lid=2298&elq=11f7b1b5179f45b09737bdf10d0fe61f",4.92779938911351
"281","miespaciopilates.com/7Fy2FzNg/index.html",4.38418371977919
"282","puenteaereo.info/fHA5c5iw/index.html?s=883&lid=2231&elq=11f7b1b5179f45b09737bdf10d0fe61f",4.88296694961426
"283","puenteaereo.info/fHA5c5iw/index.html?s=883&lid=2270&elq=11f7b1b5179f45b09737bdf10d0fe61f",4.88344244938661
"284","puenteaereo.info/KE3pt5Ye/index.html?s=883&lid=2328&elq=11f7b1b5179f45b09737bdf10d0fe61f",4.8792196865241
"285","zjjlf.croukwexdbyerr.net/zyso.cgi?16",4.49590659848425
"286","www.panazan.ro/online/libraries/pattemplate/patTemplate/Modifier/HTML/im/o/z/3pingo/cfg.bin",4.28572073115
"287","www.panazan.ro/online/libraries/pattemplate/patTemplate/Modifier/HTML/im/o/z/3pingo/gate.php",4.22760243723
"288","www.two-of-us.at/images/W.exe",3.84040254670251
"289","ns1.updatesdns.org/static.htmls",3.9746954079159
"290","www.two-of-us.at/images/vein.exe",3.91390976555739
"291","www.two-of-us.at/images/s4x.exe",3.84888461662912
"292","www.two-of-us.at/images/s2x.exe",3.84888461662912
"293","wetjane.x10.mx/",3.50689059560852
"294","www.two-of-us.at/images/s2.exe",3.83140184539217
"295","www.two-of-us.at/images/m.exe",3.77143702946113
"296","www.two-of-us.at/images/digitalcoinminer.exe",4.12695001674887
"297","www.two-of-us.at/images/dgc4x.exe",4.02894639195461
"298","www.two-of-us.at/images/dc.exe",3.92323142879762
"299","elew72isst.rr.nu/mm.php?d=x1",4.28039465412319
"300","www.two-of-us.at/images/bz.exe",3.92323142879762
"301","www.two-of-us.at/images/BR.exe",3.92323142879762
"302","www.two-of-us.at/images/aurcoinlab.exe",4.13569955274647
"303","www.perupuntocom.com/claroideas.exe",3.9788640881881
"304","www.two-of-us.at/images/au4x.exe",3.86672929667217
"305","xamateurpornlic.www1.biz/latest/xxx-porn-movie.avi.exe",4.26898322517222
"306","www.two-of-us.at/images/1.exe",3.84040254670251
"307","www.two-of-us.at/images/pictures.php",4.03049305675748
"308","milleniumpapelaria.com.br/tag/class/editor.php?edit=gz",4.25500382698401
"309","xpornstarsckc.ddns.name/latest/xxx-porn-movie.avi.exe",4.11501586106577
"310","natural.buckeyeenergyforum.com/r/l/the-joint.php",4.29040071973329
"311","narrow.azenergyforum.com/r/l/brown_season.php",4.11098719660928
"312","upswings.net/track.php?c005",4.13433611319445
"313","www.lyzgs.com/track.php?c005",4.1550455468258
"314","weboxmedia.by/track.php?c005",4.3073549220576
"315","ukrfarms.com.ua/images/tovar.jpg.php",4.0514621540398
"316","babos.scrapping.cc/v211112n/i.php?token=forum",4.40252976280403
"317","mlpoint.pt/Scripts/d.html",3.73366068968819
"318","gravityexp.com/go.php?sid=12",4.35182322555177
"319","winlock.usa.cc/k8uiaii89819aj/get.php?f=7",4.45463615074848
"320","dev.wrathofshadows.net/255163377.htm",4.27368437626202
"321","analxxxclipsyjh.dnset.com/latest/amateur_dog_sex_01.avi.exe",4.35486397330392
"322","private.hotelcesenaticobooking.info/r/l/updating-bugs_keeping.php",4.29755036782146
"323","port.bg/wfgv.html?php=receipt",4.07332970194952
"324","webordermanager.com",3.43162356584743
"325","videoflyover.com",3.45281953111478
"326","www.0uk.net/zaaqw/Pony.exe",3.79621760259006
"327","cwmgaming.com",3.02698683335929
"328","www.0uk.net/zaaqw/cs.exe",3.68872187554087
"329","ukonline.hc0.me/new.exe",3.60532650045859
"330","50efa6486f1ef.skydivesolutions.be/news/refusal/natural.cgi",4.48472684871818
"331","ukonline.hc0.me/Host.exe",3.88684218813101
"332","somethingnice.hc0.me/Miner/CPUMiner.files",4.04354461483937
"333","directxex.com/uploads/965775728.crypt.exe",4.35707517513872
"334","directxex.com/uploads/813441197.ms.exe?dl=1813441197.ms.exe",4.30576910970663
"335","directxex.com/uploads/565785830.been.exe",4.32756715711693
"336","directxex.com/uploads/482862824.kmahard.exe",4.29767580091185
"337","directxex.com/uploads/472678730.2113899106.puttymanager.exe",4.67274342249313
"338","directxex.com/uploads/39164388.ms.exe?dl=1",4.43363498214804
"339","directxex.com/uploads/341043287.crypted.exe",4.38837660393255
"340","directxex.com/uploads/2056064399.ms.exe",4.37489516746925
"341","directxex.com/uploads/1870347935.http.exe",4.47304804104515
"342","directxex.com/uploads/1835173533.ms.exe?dl=11835173533.ms.exe",4.20952883822369
"343","www.offerent.com/tmp/5lro65.php?receipt_print=825_417011330",4.57104850723889
"344","directxex.com/uploads/1803412028.mintt.exe",4.38601593452899
"345","directxex.com/uploads/1491944748.whaat.exe",4.33839688690994
"346","directxex.com/uploads/1599687595.ms.exe?dl=11599687595.ms.exe",4.30518790320106
"347","mycleanpc.tk/download/",3.82306798227366
"348","bbs.bjchun.com/report.htm",3.78346518960165
"349","customsboysint.com/1/25/human-head-wireframe",4.3736489479369
"350","directxex.com/uploads/1271351103.ms.exe?dl=1",4.37137927816168
"351","directxex.com/uploads/1271351103.ms.exe",4.27233106490515
"352","www.daspar.net/components/.kkcpgr.php?action=ss00_323",4.38105105861501
"353","freefblikes.phpnet.us",3.630412660874
"354","directxex.com/uploads/1005443056.cryptedserver.exe",4.33533775047031
"355","yougube.com",3.09579525500093
"356","youtuhe.com",3.09579525500093
"357","ukonline.hc0.me/Host.exe",3.88684218813101
"358","youtibe.com",3.27761343681912
"359","ukonline.hc0.me/new.exe",3.60532650045859
"360","www.tdms.saglik.gov.tr/KDV_Guncel_Tevkifat_Oranlari.htm",4.59255829561095
"361","sunny99.cholerik.cz/plugins/3yvPRqFJ.php",4.5153115322251
"362","www.rooversadvocatuur.nl/rel.php",3.92922929667217
"363","malest.com",3.12192809488736
"364","dl01.faddmr.com/n/e176d94e-d9b7-11e2-a752-00259033c1da/Setup.exe?tid=102dccc4aa5799d2efb748b9dd0e4fFake",4.6551846847616
"365","dl01.faddmr.com/n/3.0.15.1/9041377/Setup.exe?tid=102dccc4aa5799d2efb748b9dd0e4f",4.58417984397502
"366","www.rebeccacella.com/wp-content/plugins/subscribe/",4.08107688002637
"367","www.lowes-pianos-and-organs.com/images/d521c2a038/?zAXbu4Wah12XtNHf0YTNwgTNwIjM0ATMzIDfvgzMwEmMjFjM1Q2LzV2Zh1Wav02bj5",5.34086292983511
"368","lcbcad.co.uk/4541b36fdd41b9610c2e870b21fc5022/q.php",4.40518631289129
"369","v.inigsplan.ru/lich/inc/v7675/?/",3.92610850073124
"370","mailboto.com/landing/themes/bluemarine/corso/index.htm",4.07519816134425
"371","guyscards.com/adobe/",3.72192809488736
"372","guyscards.com/adobe/update_flash_player.exe",4.20000763951139
"373","teameda.comcastbiz.net/expanding/index.html",4.01628358067673
"374","wc0x83ghk.homepage.t-online.de/communed/ameba.js",4.42299505257913
"375","instruminahui.edu.ec/201403/editor.html",4.23361888530702
"376","server1.extra-web.cz/dbm.exe",3.77094242174854
"377","nutnet.ir/dl/nnnew.txt",3.29535705161744
"378","eliehabib.com/topic/regard_alternate_sheet.php",4.03071338077316
"379","kipasdenim.com/images/wp-sts.php",3.95281953111478
"380","praxisww.com/wp-stc.php",3.7081320646586
"381","romvarimarton.hu/wp-stc.php",3.95822916866988
"382","saemark.is/wp-content/plugins/wp-sts.php",4.08482950850326
"383","vitamasaz.pl/wp-stc.php",3.7081320646586
"384","www.coloritpak.by/wp-stc.php",3.85182322555177
"385","www.fasadobygg.com/wp-stc.php",3.90936806394388
"386","www.hausnet.ru/wp-stc.php",3.62346518960165
"387","www.joomlalivechat.com/wp-stc.php",3.92258957364167
"388","www.litra.com.mk/wp-sts.php",3.76396574282408
"389","www.over50datingservices.com/wp-stc.php",4.21426279550796
"390","www.praxisww.com/wp-stc.php",3.55990000192308
"391","www.saemark.is/wp-content/plugins/wp-sts.php",4.05378454063811
"392","www.wyroki.eu/wp-stc.php",3.70498685577267
"393","manoske.com/main.php?label=TJaxqKIV0+wlz0MJN5SxypUhWaVDQDqE4PwfdxjPls0=",5.23947683101045
"394","mmile.com/images/rhcs05.exe",3.79192453920051
"395","windspotter.net/?r=site/widget",3.69473966305518
"396","luggage-tv.com/adobe/update_flash_player.exe",4.26331365311251
"397","luggagepreview.com/adobe/update_flash_player.exe",4.25424785528517
"398","luggagecast.com/adobe/update_flash_player.exe",4.1467569849301
"399","kapcotool.com/adobe/update_flash_player.exe",4.1160625121989
"400","kapcotool.com/topic/able_disturb_planning.php",4.16410629717735
"401","luggage-tv.com//topic/able_disturb_planning.php",4.30928406416741
"402","luggagepreview.com//topic/able_disturb_planning.php",4.28753925406776
"403","by98.com/reincarnate/index.html",4.13130034250536
"404","ad.getfond.info",3.24022392894185
"405","dcanscapital.co.uk/panhandled/scientists.js",3.88582682545727
"406","japanesevehicles.us/vector/internees.js",3.78887586048788
"407","teameda.net/tipsier/stuttgart.js",3.58871064191468
"408","luggagecast.com/topic/able_disturb_planning.php",4.19768592591557
"409","mmile.com/images/bl.exe",3.48008369518745
"410","www.moviedownloader.net/d/GraboidMovieDownloader-3.54.exe",4.1567180866852
"411","bluecutsystem.com/load3.exe",3.86599861327458
"412","tube8vidsvrx.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.57925891965673
"413","tube8vidsvtp.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.63212471543957
"414","tube8vidswsy.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.64610411362778
"415","tube8vidswtb.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.61629595669376
"416","tube8vidswys.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.61629595669376
"417","tube8vidsxlo.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.59323831784494
"418","tube8vidsxmx.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.60906707659074
"419","tube8vidsxpg.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.61629595669376
"420","tube8vidsxpp.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.66008351181599
"421","tube8vidsxwu.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.61629595669376
"422","tube8vidsycs.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.59508767840253
"423","tube8vidsyip.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.60721771603315
"424","tube8vidsymz.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.66008351181599
"425","tube8vidsyre.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.58785879829951
"426","tube8vidsyyf.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.60906707659074
"427","tube8vidszmi.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.60721771603315
"428","tube8vidsznj.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.6533329937308
"429","tube8vidsznx.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.61629595669376
"430","tube8vidscqs.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.61629595669376
"431","tube8vidscut.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.57925891965673
"432","tube8vidsdob.dnset.com/2013/girl-fucked-by-dog.avi.exe",4.56527952146851
"433","tube8vidsdst.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.54407124317728
"434","tube8vidsfgd.ddns.name/2013/girl-fucked-by-dog.avi.exe",4.54407124317728
